state_code,county_code,site_num,poc,date_local,latitude,longitude,state_name,county_name,city_name,cbsa_name,arithmetic_mean,pm25_max,aqi,wind_mean,press_mean,rh_mean,dew_point_max,PRCP,TMAX,TMIN,month,year,season,high_pm25_day
6,37,1103,1,2024-02-04,34.06659,-118.22688,California,Los Angeles,Los Angeles,"Los Angeles-Long Beach-Anaheim, CA",4.3,10.0,22.0,38.985417,1001.875,83.458333,100.0,44.7,14.4,10.0,2,2024,Winter,0
6,37,1103,1,2024-02-05,34.06659,-118.22688,California,Los Angeles,Los Angeles,"Los Angeles-Long Beach-Anaheim, CA",3.2444443333333335,7.6,16.5,45.516667,998.291667,99.708333,100.0,65.3,13.9,11.7,2,2024,Winter,0
6,37,1103,1,2024-02-06,34.06659,-118.22688,California,Los Angeles,Los Angeles,"Los Angeles-Long Beach-Anaheim, CA",4.8635417499999996,9.2,25.0,51.168749999999996,993.375,97.333333,100.0,27.4,12.2,8.9,2,2024,Winter,0
6,37,1103,1,2024-02-07,34.06659,-118.22688,California,Los Angeles,Los Angeles,"Los Angeles-Long Beach-Anaheim, CA",5.036111,9.0,25.0,70.84375,999.291667,84.416667,100.0,4.6,15.0,7.2,2,2024,Winter,0
6,37,1103,1,2024-02-08,34.06659,-118.22688,California,Los Angeles,Los Angeles,"Los Angeles-Long Beach-Anaheim, CA",4.877777666666667,9.0,25.5,107.3416665,1003.125,72.375,94.0,0.0,14.4,7.8,2,2024,Winter,0
6,37,1103,1,2024-02-09,34.06659,-118.22688,California,Los Angeles,Los Angeles,"Los Angeles-Long Beach-Anaheim, CA",3.908333333333333,7.9,21.0,81.91250000000001,1004.25,63.625,91.0,0.3,15.6,8.3,2,2024,Winter,0
6,37,1103,1,2024-02-10,34.06659,-118.22688,California,Los Angeles,Los Angeles,"Los Angeles-Long Beach-Anaheim, CA",6.780555666666667,18.8,36.5,65.33333350000001,1004.625,46.375,75.0,0.0,19.4,10.0,2,2024,Winter,0
6,37,1103,1,2024-02-11,34.06659,-118.22688,California,Los Angeles,Los Angeles,"Los Angeles-Long Beach-Anaheim, CA",7.388889,18.0,39.0,65.4541665,1009.083333,43.166667,68.0,0.0,17.2,6.7,2,2024,Winter,0
6,37,1103,1,2024-02-12,34.06659,-118.22688,California,Los Angeles,Los Angeles,"Los Angeles-Long Beach-Anaheim, CA",8.38229175,14.1,44.333333333333336,57.3895835,1006.291667,48.875,76.0,0.0,18.3,7.2,2,2024,Winter,0
6,37,1103,1,2024-02-13,34.06659,-118.22688,California,Los Angeles,Los Angeles,"Los Angeles-Long Beach-Anaheim, CA",9.633333333333335,14.8,51.5,67.672917,1003.791667,67.708333,92.0,0.0,17.8,6.7,2,2024,Winter,0
6,37,1103,1,2024-02-14,34.06659,-118.22688,California,Los Angeles,Los Angeles,"Los Angeles-Long Beach-Anaheim, CA",13.3375,21.5,59.0,91.5770835,1007.791667,74.541667,94.0,0.0,16.1,10.0,2,2024,Winter,0
6,37,1103,1,2024-02-15,34.06659,-118.22688,California,Los Angeles,Los Angeles,"Los Angeles-Long Beach-Anaheim, CA",9.011111,19.4,50.0,79.4791665,1008.75,80.916667,95.0,0.0,16.7,8.9,2,2024,Winter,0
6,37,1103,1,2024-02-16,34.06659,-118.22688,California,Los Angeles,Los Angeles,"Los Angeles-Long Beach-Anaheim, CA",15.863889,26.6,64.0,102.5416665,1006.916667,81.208333,98.0,0.0,17.2,12.2,2,2024,Winter,0
6,37,1103,1,2024-02-17,34.06659,-118.22688,California,Los Angeles,Los Angeles,"Los Angeles-Long Beach-Anaheim, CA",23.711111,36.9,80.0,90.9416665,1006.125,87.875,99.0,0.3,16.1,12.2,2,2024,Winter,0
6,37,1103,1,2024-02-18,34.06659,-118.22688,California,Los Angeles,Los Angeles,"Los Angeles-Long Beach-Anaheim, CA",7.765625,21.7,40.666666666666664,111.3083335,1005.291667,84.083333,97.0,0.0,17.2,12.8,2,2024,Winter,0
6,37,1103,1,2024-02-19,34.06659,-118.22688,California,Los Angeles,Los Angeles,"Los Angeles-Long Beach-Anaheim, CA",3.0375,9.5,16.0,52.1916665,1006.333333,98.75,100.0,24.4,14.4,12.8,2,2024,Winter,0
6,37,1103,1,2024-02-20,34.06659,-118.22688,California,Los Angeles,Los Angeles,"Los Angeles-Long Beach-Anaheim, CA",3.5875,6.9,19.0,45.645832999999996,1007.083333,98.916667,100.0,14.2,15.0,12.2,2,2024,Winter,0
6,37,1103,1,2024-02-21,34.06659,-118.22688,California,Los Angeles,Los Angeles,"Los Angeles-Long Beach-Anaheim, CA",3.7972223333333335,10.0,20.5,100.0104165,1007.25,84.833333,100.0,6.4,16.7,11.7,2,2024,Winter,0
